target_model,base_score,agent_model,harness,n,mean_score,min_score,max_score
Qwen2.5-3B-Instruct,44.08,GPT-5.5 high,Codex,2,48.40,47.56,49.23
Qwen2.5-3B-Instruct,44.08,Kimi K2.6,OpenCode,3,48.09,47.51,49.25
Qwen2.5-3B-Instruct,44.08,GPT-5.5 xhigh,Codex,4,47.46,45.90,48.17
Qwen2.5-3B-Instruct,44.08,GPT-5.6 Sol xhigh,Codex,5,47.18,46.51,48.64
Qwen2.5-3B-Instruct,44.08,GPT-5.6 Sol high,Codex,3,46.84,46.27,47.28
Qwen2.5-3B-Instruct,44.08,GPT-5.4 Pro,OpenCode,1,46.83,46.83,46.83
Qwen2.5-3B-Instruct,44.08,GPT-5.6 Sol medium,Codex,1,46.69,46.69,46.69
Qwen2.5-3B-Instruct,44.08,DeepSeek V4 Pro,OpenCode,3,46.56,45.62,47.11
Qwen2.5-3B-Instruct,44.08,Opus 4.8 high,Cursor,3,46.42,46.04,47.13
Qwen2.5-3B-Instruct,44.08,Sonnet 4.6 medium,Cursor,4,46.12,45.24,47.92
Qwen2.5-3B-Instruct,44.08,GLM-5.1,OpenCode,3,45.99,45.88,46.19
Qwen2.5-3B-Instruct,44.08,MiniMax M2.7,OpenCode,1,45.75,45.75,45.75
Qwen2.5-3B-Instruct,44.08,Qwen3.7-Max,OpenCode,1,45.70,45.70,45.70
Qwen3-4B-Base,41.08,MiniMax M2.7,OpenCode,2,49.00,48.94,49.07
Qwen3-4B-Base,41.08,Kimi K2.6,OpenCode,2,48.91,45.88,51.94
Qwen3-4B-Base,41.08,GPT-5.4 Pro,OpenCode,2,48.55,47.20,49.89
Qwen3-4B-Base,41.08,DeepSeek V4 Pro,OpenCode,2,48.25,46.29,50.21
Qwen3-4B-Base,41.08,GPT-5.6 Sol xhigh,Codex,2,48.24,43.29,53.19
Qwen3-4B-Base,41.08,GLM-5.1,OpenCode,2,45.71,44.74,46.67
Qwen3-4B-Base,41.08,GPT-5.5 xhigh,Codex,2,45.19,42.96,47.42
Qwen3-4B-Base,41.08,Qwen3.7-Max,OpenCode,1,44.38,44.38,44.38
Qwen3-4B-Base,41.08,GPT-5.5 Codex,Codex,2,43.25,42.91,43.60
